article,donation_amount,donation_date
"Daniel_Boone_Hotel_(Boone,_North_Carolina)",445.88,2021-01-26
Return_to_Samoa,67.15,2020-12-08
NK_Bezigrad,459.0,2020-12-03
"Param,_Micronesia",451.3,2025-06-06
Jan_Sloot,60.02,2024-11-10
Thomas_Evans_(Archdeacon_of_Worcester),125.96,2021-06-10
Gilbert_Stork,333.47,2023-06-07
Beckett_(disambiguation),461.58,2022-04-24
Pavlovskyella,457.82,2024-12-26
A_Little_Bit_of_Jazz,221.84,2025-01-13
Gilbert_Charles-Picard,162.03,2021-01-30
Kyrian_Nwabueze,497.83,2025-08-21
Naregal,240.14,2024-01-02
Nicholas_Academic_Centers,117.35,2022-06-09
Talladega_Indians,382.1,2025-10-15
"Fort_Belvoir,_Virginia",171.31,2023-11-20
Data_preprocessing,118.95,2023-04-05
Altaghoney,363.42,2021-11-13
Hilya,463.71,2022-09-13
Internet_censorship_in_South_Africa,301.25,2021-11-05
Cerro_Ccapia,265.2,2023-06-14
Korobeinikov,242.92,2022-03-19
Albula_(genus),180.85,2022-11-03
"Fort_Belvoir,_Virginia",452.74,2022-06-06
Saskatchewan_Highway_41_(1920s),230.55,2023-09-19
Andrew_Reid,4.41,2021-09-07
MoMa,97.4,2023-07-02
South_bridge,285.19,2021-04-26
Martha_Lloyd,427.26,2022-09-02
352,484.68,2022-01-06
ISO_639:fal,478.88,2021-06-28
Picota_Province,186.35,2022-09-03
Snare_(music),88.93,2021-01-18
Museum_Brandhorst,70.55,2022-12-15
Unione_Naziunale,408.8,2025-08-13
Tapitsfly_(horse),337.63,2023-08-26
Dylan_Mulholland,192.24,2022-11-22
"Kahyalar,_Gazipasa",90.52,2021-02-15
Suresh_Menon_(sports_writer),438.67,2024-08-27
George_Frayne,301.62,2022-04-19
Hutt_River_(South_Australia),337.82,2022-05-19
Moulay_Abdallah,56.13,2024-11-30
State_of_Trance,169.92,2022-02-23
Theater_de_la_Jeune_Lune,0.02,2023-03-11
Viaducts_in_Poland,284.61,2025-02-28
"Hitchcock,_SD",286.48,2022-03-08
Nick_sarkozy,77.07,2025-07-12
Joseph_Ibn_Tibbon,40.96,2025-11-06
Community_Park_(St._Catharines),69.33,2023-02-07
Department_of_Home_Affairs_(Isle_of_Man),284.46,2021-04-09
Intersexuality,197.13,2023-07-13
Battle_of_the_river_plate,455.53,2021-08-12
"Fertile_Valley_No._429,_Alberta",44.04,2024-09-21
Formol,20.41,2020-12-05
Alpine_Argus,180.28,2024-01-03
Edmund_jaeger,349.64,2021-08-21
High_Energy_(song),40.69,2022-08-10
Songs_on_Radio_Idaho,166.28,2024-02-13
List_of_asteroids/83501-83600,212.84,2021-01-07
Zikideva,237.15,2024-07-08
Aq_Sin_Tappeh,133.89,2022-08-07
Bradypodion_karrooicum,450.8,2025-01-17
B._lepidus_(disambiguation),298.79,2021-08-25
Mark_Titus,250.09,2024-08-11
Christine_Kilduff,237.94,2025-07-29
Dead_Inside_(disambiguation),495.57,2021-01-31
"Ansell,_Steven",216.15,2023-04-30
Episkopos,82.7,2024-05-17
Cinogon,108.32,2021-01-12
Kizilbash,472.04,2023-04-05
Cat_trash,414.3,2022-06-28
Kyaka_Bridge,440.69,2024-09-08
Lexus_LS_(XF50),114.23,2022-08-06
Mitchell_Swepson,298.92,2024-02-14
Affiliate_Te_Arawa_Iwi_and_Hapu_Claims_Settlement_Act_2008,348.11,2023-07-23
Sulphur_Lupin,17.87,2025-10-27
"Oberburg,_Switzerland",424.63,2022-10-10
1931_Pittsburgh_Panthers_football_season,165.03,2024-12-15
Adrian_Howells,454.19,2025-02-27
Notomulciber_trimaculatus,403.4,2025-10-12
King_of_england,225.87,2024-03-05
Ain_shams_university_faculty_of_medicine,339.4,2020-12-08
Murgsee,487.28,2022-06-05
European_Adventure_Tour_1981,158.26,2020-12-09
Edward_Herbert_(Irish_politician),401.97,2021-12-14
Portuguese_folk_music,244.26,2023-10-23
House_of_Kurnatowski,191.5,2021-08-18
Piz_la_Stretta,341.9,2020-12-21
Nuke_Noodle,97.96,2024-12-24
"Mumbai_attacks_november_26,27,_2008",362.94,2024-02-15
Unordered_list,425.03,2023-05-11
"Mapleton_(White_Plains,_New_York)",25.45,2022-03-28
"Welle_Priory,_in_Gayton",414.16,2024-09-13
Guanghua_Temple_(Beijing),470.19,2023-11-11
New_Zealand_English_language,69.3,2025-11-06
Juan_Rogel,343.38,2021-06-30
Jung-Won_Seo,180.26,2021-12-25
Gabriel_III,120.4,2021-12-02
Big_Pot,58.37,2024-06-01
Hikaru_Sulu,4.97,2022-04-26
Glencoe_(publisher),355.66,2025-08-12
Glendale_Gordon,192.31,2024-01-31
Ajahn_Chah,466.46,2025-08-06
Munther_Haddadin,206.1,2025-01-11
Jeff_Robinson_(baseball),378.31,2025-09-26
Andy_MacPhail,66.43,2021-11-16
Germany_at_the_2010_Winter_Paralympics,468.25,2020-11-13
IMO_7813937,419.82,2021-07-06
Christian_Friedrich_Heinrich_Wimmer,356.55,2022-01-24
Armilla,364.97,2023-08-24
Nigel_Martyn,21.21,2023-05-01
Rupa_Bhavani,371.97,2025-08-13
Lozopera_adelaidae,109.53,2023-06-10
Playground_Games,110.67,2023-10-17
Colnect,311.04,2021-10-10
BetterWorld,346.41,2023-01-16
Bounty_prize,470.87,2024-08-05
United_Earth_Directorate,227.32,2024-08-21
Famous_Brands,390.38,2023-02-04
Back_injury,79.76,2025-07-18
"History_of_Pleasant_Ridge,_Michigan",87.92,2024-06-14
Mental_health_economics,355.4,2023-06-24
Brachydactylia,258.44,2023-12-22
F15599,389.82,2025-05-08
Capcom_Play_System_3,299.98,2025-02-02
Strange_Holiday_(1970_film),331.3,2024-07-06
MP2013,431.64,2024-02-25
Anglican_Assistant_Bishop_in_Geelong,49.04,2025-10-18
Philippine_College_of_Health_Sciences,420.51,2020-11-26
Inniscalthra,361.87,2025-06-08
4410s,293.34,2023-04-19
Chachersk,46.81,2024-07-28
Johann_Baptist_Schweitzer,218.06,2022-06-26
"Mapleton_(White_Plains,_New_York)",396.41,2021-03-23
1963_FIBA_Basketball_World_Cup,260.02,2021-10-02
Adam_Chlapik,238.02,2022-01-02
KSAT-DT,423.53,2023-11-01
Utricularia_glazioviana,328.56,2023-02-25
Taghi_Rowahni,420.94,2024-11-07
Kristian_Kirk,496.29,2023-03-05
Bol_Glacier,209.77,2025-02-24
Aemilie_Juliane,194.53,2023-04-09
Tresor_Makunda,121.6,2023-12-05
WKTV-DT3,68.27,2025-05-17
Atlantropa,322.02,2022-02-23
The_Impala,182.19,2021-09-08
SMK_Mambau,74.0,2022-08-09
Thrashbird,279.5,2025-07-02
The_Junior_Pen,448.83,2023-02-01
Boy_Scouts_Of_America,131.09,2021-01-18
In_Cyprus,488.04,2025-10-08
Mount_Landolt,470.48,2023-12-03
Platycara,17.19,2022-06-05
Tribeca_Flashpoint_College,116.4,2021-08-10
Inca_religion,227.34,2025-09-26
E_C_Dahls_Brewery,498.23,2024-01-22
Topkapi_Gate,329.05,2021-02-26
Swedish_ministers_of_foreign_affairs,451.8,2021-01-16
End_user_computing,418.4,2022-11-02
"Montalvo,_California",430.1,2023-03-01
Triparanol,319.1,2025-02-15
Sony_Cybershot_F717,385.42,2025-07-04
21_Seconds,382.78,2023-04-14
Tagetes_pseudomicrantha,122.41,2021-02-02
Stefan_Meusburger,67.1,2021-08-31
Hexavalant_chromium,211.66,2023-11-23
Kenji_(manga),468.71,2024-01-29
Megatech_International,189.25,2022-09-29
Eagle_eye_(Company),317.27,2023-05-06
Tanneron,319.86,2025-07-12
McKinsey_and_Co.,118.57,2025-06-19
Eendracht_Aalst,277.43,2023-10-03
Stratford_(surname),17.99,2023-11-25
Secretary_to_the_Board_of_Control,241.62,2023-08-07
Nediljko_Zelic,38.05,2024-12-22
Yucca_draconis,44.94,2021-10-06
Nathan_Hope,413.33,2023-11-06
Sir_William_Keys,26.13,2023-05-23
Football_in_albania,153.81,2024-03-11
"Arboledas,_Buenos_Aires_Province",154.16,2025-10-31
Agence_de_cooperation_culturelle_et_technique,153.7,2021-09-02
Black_Rain_(Ozzy_Osbourne_album),196.24,2021-04-15
6363_Doggett,373.07,2025-08-09
Elysia_subornata,90.59,2024-10-19
Ohio_State_Highway_588,364.44,2021-06-22
K_theory,131.71,2022-07-13
Trade_Secret,412.2,2022-04-08
"Haven_Township,_MN",164.27,2024-10-30
Kaadedhdhoo_Domestic_Airport,486.06,2021-10-22
GxP,471.84,2025-01-29
"Hatcher_Pass,_Alaska",74.45,2022-01-08
Moral_Core,317.99,2023-07-27
Hamid_Nahai,132.73,2023-05-03
Consumer_needs,327.63,2025-02-03
John_M._Clayton,218.32,2024-11-12
"Doreen_Miller,_Baroness_Miller_of_Hendon",157.79,2022-05-15
Ammonia_Avenue,172.47,2024-07-22
Fine-Pix_A350,427.18,2023-05-18
Stealing_home,399.12,2023-05-08
Fukushima_Daini_Nuclear_Power_Plant,298.41,2024-03-07
Blonie_(disambiguation),260.05,2025-09-07
The_Seventh_Python,100.42,2025-03-04
Verettes,102.51,2022-11-09
The_Sell-In,405.81,2021-04-26
Don_Cartagena,211.69,2025-02-12
Ditton_Castle,364.41,2024-07-16
Lockheed_R5O,58.1,2021-11-14
Finnish_pollution_control_vessel_Hylje,193.89,2023-04-14
Bodley_club,54.7,2023-04-05
Meanings_of_minor_planet_names:_75001-76000,148.35,2023-02-22
The_Stick_(disambiguation),286.05,2025-01-01
Asagi_Qasil,488.76,2023-04-24
Nagalim,22.54,2023-04-27
Try_It_Out_(Skrillex_and_Alvin_Risk_song),458.23,2021-09-14
No_Mans_Sky,146.18,2023-02-28
Document_Classification,130.63,2025-10-20
Netherlands/Transportation,428.23,2021-11-08
The_Betrayed,226.0,2021-07-01
Exotic_interest_rate_option,77.09,2023-07-19
Emperor_Chin,194.54,2021-07-25
Welsh_holidays,70.41,2025-09-24
American_Express_Company_building,214.92,2021-05-08
"Morningside,_Miami,_FL",380.49,2025-03-02
Jubilej_gospodina_Ikla,437.33,2023-03-11
Fragmentation_Grenade,478.37,2022-12-07
South_Channel,80.64,2024-11-30
New_Power_Soul_Tour,499.58,2025-04-09
Washing_the_mouth_out,150.88,2023-04-17
Freedom_of_religion_in_Eritrea,63.4,2025-01-18
Insulation_(for_buildings),138.75,2023-03-15
UM_Cugir,24.91,2022-11-12
North_American_Phonograph_Company,287.97,2021-08-20
Qu_Qiubai,77.91,2024-03-24
Sebisel_River_(Aleu),377.15,2024-08-09
Saint-Malo-du-Bois,368.35,2023-02-25
"Bodmin,_Saskatchewan",286.31,2021-03-21
Dacia_Sandero,215.66,2024-06-11
"Daniel_Boone_Hotel_(Boone,_North_Carolina)",359.66,2025-03-25
Internet_core,248.74,2023-03-30
S._B._Davis,198.18,2025-10-17
"Jacobs,_Dennis",225.49,2023-02-13
Progressive_architecture_award,132.24,2024-09-05
1995-96_Primera_B_Nacional,467.19,2024-05-26
"Verizon_Business_Network_Services,_Inc.",72.57,2022-05-11
Anti-austerity_movement_in_the_United_Kingdom,305.37,2023-02-19
James_B._Utt,381.21,2023-12-18
3284_BC,16.72,2021-03-22
Viewpoint_(game),480.19,2022-12-27
Villanueva_(album),485.54,2024-06-16
Theresa_Weir,34.72,2025-01-15
Safe_Water_Network,334.98,2020-12-15
7_Lives,141.51,2023-07-11
Ironstone_Mountain,434.95,2022-03-21
"Doyle_Conner,_Sr.",392.01,2024-10-15
Acrocercops_brachyglypta,277.39,2021-08-14
Ellen-Sofie_Olsvik,497.64,2025-02-12
"Sar,_Bahrain",482.2,2024-04-06
Renton_fc,458.59,2022-02-10
Milfeulle_Sakuraba,422.81,2020-12-08
Emperor_Chen_Houzhu,143.21,2024-09-03
Israeli_poetry,476.14,2021-02-13
Birdcage_Theatre,317.79,2022-01-09
Yoshinori_Sakai,203.47,2024-03-16
List_of_United_States_Metropolitan_Statistical_Areas,11.08,2022-02-13
Prince_Willem-Alexander_of_the_Netherlands,254.28,2023-12-27
English_conjugation,261.68,2025-07-28
Chemalskii,154.53,2024-03-24
Phalaena_unangulata,147.82,2023-02-04
Meredith_railway_station,359.6,2023-12-15
Rat_Trick,220.38,2025-10-04
Frankish_Realm,338.56,2021-07-06
Bop_Magazine,468.2,2024-02-15
Baron_of_Gritzena,320.46,2023-04-04
Princess_Louise_of_Prussia_(1829-1901),170.81,2023-10-02
Article_xv_squadrons,301.95,2024-05-08
Synergism,74.3,2022-04-27
Courbet_(1911),140.7,2024-06-18
Ontario_Secondary_School_Certificate,461.11,2024-05-02
Tasos_Spyropoulos,32.89,2022-02-02
Satranala_decussilvae,299.52,2024-04-11
Incident-tracking_system,342.73,2025-04-05
Mustapha_Hadji,437.63,2025-10-10
Argan_tree,414.67,2023-06-09
Psychoactive,461.83,2023-12-11
Moussa_Konate_(footballer),454.95,2023-05-19
Tinea_variatella,54.95,2022-06-17
"Rollins,_John",384.79,2023-07-02
Nirbheek_revolver,364.72,2021-07-06
Damasa,276.32,2023-09-20
"Boni_Pueri,_the_Czech_Boys_Choir",375.11,2024-01-14
Freimanis,210.45,2023-07-28
Book_3_(Inheritance_cycle),1.98,2021-10-23
Barbra:_The_Ultimate_Collection,24.34,2022-05-15
PC_bunk,9.8,2025-04-10
Discovery_Channel_Telescope,170.13,2021-09-02
Hot_Springs_(Big_Bend_National_Park),315.23,2025-09-22
2013-14_Brava_Island_League,253.69,2024-04-17
Ware_County_High_School,251.51,2024-08-08
2059_(year),462.2,2024-03-06
Henman,270.28,2025-05-23
Pyrotechnic_device,117.16,2024-10-26
Jack_Brattan,181.63,2021-06-11
The_Very_Best_of_Andy_Williams,229.06,2022-12-21
Bringing_Down_the_House_(book),438.48,2021-05-21
MYCL1,12.56,2024-08-07
The_Apprentice_3_(Episode_15),50.4,2024-02-25
Torre_de_Babel,437.02,2023-01-19
PPP1R1B,421.22,2024-11-20
Teosinte_branched1,186.47,2024-06-11
1911-12_Kangaroo_Tour_of_England,430.52,2024-11-02
Paralatisternum,9.42,2025-07-16
Eitan_Tibi,431.66,2023-08-11
Down_in_the_Valley_(album),330.98,2024-08-18
Kojatice,81.79,2025-05-02
Gherkhlar,4.83,2025-01-17
Y._G._Mahajan,274.17,2022-01-30
The_Addams_Family_(Game_Boy),62.84,2022-10-25
Eneritz_Iturriaga,378.22,2024-01-02
Micropera_utriculosa,370.29,2024-11-22
Total_value_(disambiguation),121.72,2021-10-30
Jack_Womer,336.12,2022-09-23
Showbiz_Pizza_Time_Inc,156.75,2025-05-15
Barbus_reinii,251.76,2024-01-09
Notomulciber_trimaculatus,13.07,2022-12-20
Stilbohypoxylon,137.83,2025-09-16
Urumbilum_River,122.56,2025-05-05
Feiran_Oasis,196.87,2021-01-14
Ghostwriter_(television_series),478.79,2021-09-27
Polygon_soup,157.29,2024-02-27
Synergism,205.0,2025-01-26
Jon_Culshaw,96.37,2025-01-20
Cytosine_arabinoside,455.7,2022-10-16
Sisters_of_Our_Lady_of_the_Missions,336.51,2023-08-04
S.45,483.47,2023-05-02
Waiau_River_(Gisborne),493.39,2021-11-02
Portland_Maine,84.16,2021-03-23
Arkansas_Highway_112,425.29,2023-12-19
Flash_welding,49.27,2024-06-20
Straight-horned_markhor,387.79,2021-12-17
Pyrausta_furvicoloralis,374.49,2025-06-04
List_of_clinical_research_topics,293.25,2023-11-30
Plymouth_Civic_Centre,446.28,2022-05-06
Chairman_of_the_State_Council_of_Bulgaria,428.12,2021-03-18
Sa_Sa_International,37.96,2022-08-11
United_States_homefront_during_World_War_I,172.94,2022-03-14
Ayt_Warayn_Berber,425.5,2025-09-17
Irena_Pavlic,55.68,2022-12-20
Bhagwati_Prasad_Sagar,401.66,2025-03-19
Friends_of_Seagate,438.75,2025-10-18
Single_negative_metamaterial,232.15,2024-06-10
Beffort_Gap,115.04,2022-04-28
Markey_Wallace,379.72,2021-08-03
Gennady_Lebedev,411.15,2025-08-25
Qiaocheng_East_Station,140.67,2021-05-07
"Vermont_gubernatorial_election,_1996",151.05,2023-07-30
Chrostosoma_schausi,455.85,2024-03-25
Eleanor_Thackara,166.92,2021-04-15
Sabre_AFV,11.61,2022-03-03
Trivial_solution,219.13,2025-05-18
Australian_property_law,159.31,2024-01-18
Tsagaan_(disambiguation),1.52,2023-04-02
Ascari,194.89,2024-12-19
Andrew_Reid,135.93,2022-03-22
Young_Artists_Awards_1979,102.55,2021-07-12
Manchester_United_F_C_season_1997-98,309.36,2025-05-05
Louis_F._Menage,26.86,2025-05-02
Pedro_Osorio,90.84,2022-11-25
Renton_fc,141.77,2023-08-22
"Basden,_Richard",258.05,2024-03-23
Arvid_Trolle,497.6,2023-08-03
Catherine_Brewer_Benson,220.73,2025-08-09
Tuolumne_Valley,325.11,2023-04-10
City_of_Rhodos,453.34,2023-03-02
Dual_Numbers,58.83,2025-07-30
2007_Missouri_Tigers_football_season,301.94,2025-03-02
Aegidius_of_viterbo,78.56,2022-07-16
Riskrem,352.48,2022-02-24
Louise_Lind-Af-Hageby,142.77,2025-03-25
Athletics_at_the_1993_Summer_Universiade,102.02,2023-10-08
Naveed_Nawaz,270.44,2024-09-06
Balj_ibn_Bishr_al-Qushayri,89.55,2024-06-24
Gustavo_Antonio_Gelpi_Jr.,307.17,2021-11-11
Saturday_Night_Live_(Season_22),471.73,2024-01-27
Acrolophitus_pulchellis,345.23,2023-02-19
Francisco_Paulino_Hermenegildo_Teodulo_Franco_Bahamonde,125.21,2023-10-27
Emperor_Chen_Houzhu,163.53,2022-06-08
Rulers_of_Hesse,108.63,2025-06-23
Collonges_VS,152.12,2025-11-12
"All_Saints_Church,_Speke",323.9,2021-12-03
Dasgasan,216.77,2022-04-27
Kobylin-Pieniazki,36.75,2025-09-18
Spongebob_Squarepants_(Character),355.31,2023-10-19
TiCN,258.82,2023-09-26
I_am_a_Mole_and_I_Live_in_a_Hole,39.3,2022-05-18
Kazakhstan_First_Division_2009,192.92,2024-08-06
Sisters_of_Our_Lady_of_the_Missions,451.61,2023-05-02
"United_States_Senate_special_election_in_North_Dakota,_1926",183.81,2021-11-17
"Cochin,_Diocese_of",43.23,2022-04-30
The_Best_of_Gamma,48.05,2023-03-10
HSS_Explorer,94.07,2020-12-29
H._C._Selous,455.49,2025-02-26
Pagliarelli,428.56,2022-10-09
"St._Gertrude_New_Church,_Riga",423.48,2025-02-09
53rd,126.05,2024-09-22
Charged_B_meson,485.95,2024-12-21
Virginia_State_Highway_57,382.04,2021-11-13
Symphony_No._3_(Bax),417.76,2024-10-09
Vanda_simondii,456.16,2023-05-06
"Dabrowka,_Gmina_Lipsko",310.7,2025-09-28
RU-PSK,165.31,2025-03-22
Boss_Fight_Entertainment,99.74,2022-05-31
Indian_Premier_League_Orange_Cap,137.4,2025-09-29
1986_in_British_music,426.37,2025-08-08
Northcott,182.29,2021-02-08
Teosinte_branched1,24.33,2020-12-02
Yasutomo_Suzuki,104.45,2023-10-21
Sky_News_HD,213.68,2021-07-04
Shaker_al-Abssi,135.63,2021-07-14
Bimbisara_anjana,214.79,2021-07-17
Richard_Laws,140.46,2023-08-19
Netzahualcoyolt,246.9,2020-11-30
Gerry_McLoughlin,457.18,2023-03-29
Sorsogon_Province,41.56,2025-10-02
Valea_Mesteacanului_River,28.14,2023-12-15
Estolomimus_lichenophorus,103.41,2024-05-30
Document_Classification,364.89,2021-12-20
Uentrop_(disambiguation),142.74,2021-02-25
Ljudemisl,241.78,2024-08-22
(Myelin_basic_protein)-arginine_N-methyltransferase,207.22,2021-02-10
Alexander_Kaun,302.02,2022-01-03
LGB,363.95,2021-10-14
Urban_Larsson,385.96,2023-08-01
Mississippi_Heritage_Trust,340.74,2024-11-20
1986_in_British_music,122.24,2021-03-06
Needham_(MA),354.68,2021-04-21
Robert_Wedderburn,208.68,2022-04-09
Murthy,375.05,2021-03-23
St_benedict_at_auburndale,362.24,2023-12-17
Clayton_(UK_Parliament_constituency),10.4,2023-09-30
Prince_Willem-Alexander_of_the_Netherlands,11.91,2024-03-10
Lepitsa,186.61,2022-11-16
Francesco_Bennici,194.06,2024-02-13
Armenia_Lebanon_relations,231.64,2024-03-16
Acrolophitus_pulchellis,452.27,2021-04-08
List_of_freshwater_ecoregions_of_Latin_America_and_the_Caribbean,112.73,2022-04-01
Barrow_Upon_Soar_railway_station,25.0,2025-06-07
Evgeny_Burdinski,177.44,2025-06-10
The_weather_in_Durham,85.1,2022-06-02
Ponticulus_posticus,466.47,2023-03-18
UK-Austria_relations,63.96,2021-12-05
Doctor_Steinman_(Bioshock_character),123.81,2021-05-09
The_dead_and_dreaming,26.67,2021-11-28
Bunyip_ultralight,440.07,2025-10-13
Dielectric_losses,322.87,2022-06-19
Ogdoconta_tacna,61.59,2024-02-29
The_Three_Little_Kittens_Who_Lost_Their_Mittens,417.86,2025-08-01
"Guernewood_Park,_California",269.04,2023-07-26
"Walker_Lake,_Nevada",107.69,2024-07-25
Islands_of_Four_Mountains,249.74,2022-09-04
Peanuts_Road_Rally,343.99,2025-04-18
5j,177.03,2022-03-01
Campana_Factory,119.96,2021-01-10
Nuke_Noodle,495.69,2022-05-12
Hot_Springs_(Big_Bend_National_Park),263.59,2022-04-26
Tredegar_corporation,99.57,2025-09-16
Rio_de_Janeiro_State_University,309.46,2020-12-02
Robert_Kuttner,289.35,2021-03-18
Charadrahyla,264.23,2025-10-06
Hemimatia_cacalis,312.05,2024-03-22
Patricia_Solis_Doyle,263.33,2021-01-03
"Longfellow_School_(Rutland,_Vermont)",40.71,2025-10-01
Kriva_Rijeka,254.22,2025-04-09
Lorenzo_il_Vecchio,174.61,2024-11-13
Meredith_railway_station,454.15,2023-04-29
Anti-terrorist_law,484.69,2025-09-13
Manabezho_falls,318.73,2022-01-12
Ghostwriter_(television_series),72.4,2021-03-25
Philippine_College_of_Health_Sciences,416.21,2021-02-03
Lol_Mahamat_Choa,122.59,2021-05-08
List_of_Russians_from_Ukraine,451.26,2023-11-03
In_Person_Friday_Night_at_the_Blackhawk,448.16,2022-03-22
Bj_ryan,147.11,2022-09-01
Thai_Pancake,7.17,2021-03-24
World_forum,427.41,2021-08-31
Nils_van_Hoenderdaal,283.3,2025-02-26
Ulrike_Meyfarth,339.62,2024-04-28
Glycine_receptor,219.89,2025-10-18
Aegidius_of_viterbo,352.73,2022-10-04
Libby_Zion,238.48,2020-11-14
Bob_McLeod_(comics),66.4,2023-05-21
2059_(year),204.92,2022-12-24
Steven_A._Rotter,38.65,2023-05-05
Jocko_Homo,340.64,2022-09-08
Eucithara_articulata,432.28,2022-06-02
Ito-toren_(Amsterdam),193.33,2023-07-06
Cerkez_Mehmed_Pasha,222.04,2025-06-29
Live_in_Heidelberg,229.77,2023-01-21
Luhmuehlen_Horse_Trials,94.04,2021-04-10
List_of_Manglerud_Star_Ishockey_seasons,52.59,2024-10-03
Blue_spruce_verticordia,342.96,2024-07-15
Bangko_sentral_ng_pilipinas,252.28,2022-10-11
List_of_Vietnam_Airlines_destinations,115.87,2022-05-04
Shootin_for_Love,173.06,2024-08-23
IE_2800_Class,318.22,2023-04-11
Peanuts_Road_Rally,97.27,2022-04-16
Purmo,360.68,2023-08-02
Alien_space_bat,198.77,2024-08-17
Milfeulle_Sakuraba,127.68,2021-02-14
IE_2800_Class,282.2,2024-03-02
Ligue_Savoisienne,490.74,2021-10-01
R45_road,77.32,2022-03-25
Simmias_of_Rhodes,345.1,2023-05-03
Ruthless_Records_discography,460.9,2021-04-21
B_Boy_(disambiguation),220.62,2025-07-13
Dodge_Avenger,121.91,2025-10-25
William_T._Young_Library_(University_of_Kentucky),360.34,2023-06-22
Ceteareth-20,417.79,2024-06-12
Smoking_in_Scotland,82.94,2024-07-12
Youssef_Zaghba,406.12,2022-01-12
1257_(year),414.81,2025-09-16
Hazrat_Omar_Zakhilwal,75.7,2021-06-11
SSN-703,30.93,2024-09-29
Casualist,421.36,2022-12-16
Life_Gone_Wrong,436.62,2025-10-14
Mental_Body,203.98,2024-04-09
Eois_serrilineata,355.25,2023-08-07
Avraam_Sack,64.01,2022-07-24
Derrick_Harriott,430.0,2022-02-11
Charles_Sumner_Post,415.89,2024-05-24
Y._G._Mahajan,223.16,2023-09-30
