user_nickname, title, likes, not_likes, publish_date, url, views
hannahdavis,Koker_Trilogy,2380,5949,2023-05-30,https://en.wikipedia.org/wiki/Koker_Trilogy,8329.0
scohen,Ayumi_Hamasaki_awards_and_records,9312,9537,2023-08-29,https://en.wikipedia.org/wiki/Ayumi_Hamasaki_awards_and_records,18849.0
ymedina,Dee_Creek_(Salt_Creek),1681,3979,2023-02-01,https://en.wikipedia.org/wiki/Dee_Creek_(Salt_Creek),5660.0
allison48,Farthest_Star,2737,5260,2021-10-06,https://en.wikipedia.org/wiki/Farthest_Star,7997.0
arnoldfrank,Events_in_1554,4099,8427,2022-03-14,https://en.wikipedia.org/wiki/Events_in_1554,12526.0
april01,Chain_Lightning,3088,4229,2025-07-24,https://en.wikipedia.org/wiki/Chain_Lightning,7317.0
stephanie96,1921_College_Football_All-America_Team,6381,6383,2023-09-19,https://en.wikipedia.org/wiki/1921_College_Football_All-America_Team,12764.0
ashley87,East_End_Brewing,9985,4673,2022-04-19,https://en.wikipedia.org/wiki/East_End_Brewing,14658.0
qmeadows,Mesopotamian_Art_and_Architecture,9377,2124,2023-03-29,https://en.wikipedia.org/wiki/Mesopotamian_Art_and_Architecture,11501.0
williamsrandall,TOURISM_BOOKS,9866,7084,2023-08-12,,16950.0
efisher,Sigma_Rho,9393,7054,2022-03-15,https://en.wikipedia.org/wiki/Sigma_Rho,16447.0
wwarner,Randall_and_Hopkirk_(Deceased),6235,2636,2024-04-16,https://en.wikipedia.org/wiki/Randall_and_Hopkirk_(Deceased),8871.0
joshua79,Tambou_bas_a_yon_fas,6225,2450,2023-03-23,https://en.wikipedia.org/wiki/Tambou_bas_a_yon_fas,8675.0
ujohnson,David_John_Scheffer,8587,6401,2022-09-24,https://en.wikipedia.org/wiki/David_John_Scheffer,14988.0
mflores,Hawaii_Bowl,6002,7636,2025-06-01,https://en.wikipedia.org/wiki/Hawaii_Bowl,13638.0
kevin73,Area_resistivity,6198,6984,2024-03-30,https://en.wikipedia.org/wiki/Area_resistivity,13182.0
laurahernandez,BTNH,5954,8550,2023-09-01,https://en.wikipedia.org/wiki/BTNH,14504.0
richard22,Anthem_of_Tajik_SSR,5058,5543,2025-07-06,https://en.wikipedia.org/wiki/Anthem_of_Tajik_SSR,10601.0
smorgan,Bulgaria_at_the_1936_Summer_Olympics,6547,6644,2023-07-16,,13191.0
joseph67,Rolv_Werner_Erichsen,5766,8349,2024-07-30,https://en.wikipedia.org/wiki/Rolv_Werner_Erichsen,14115.0
alvinmorgan,Roman_Catholicism_in_Madagascar,4335,1365,2022-01-01,https://en.wikipedia.org/wiki/Roman_Catholicism_in_Madagascar,5700.0
scohen,Mohammed_al-Hazmiri,8039,5143,2025-03-20,https://en.wikipedia.org/wiki/Mohammed_al-Hazmiri,13182.0
gutierrezcrystal,Gradshtein_and_Ryzhik,9719,7261,2022-11-20,https://en.wikipedia.org/wiki/Gradshtein_and_Ryzhik,
tinalucas,Old_Trakai,7212,3875,2023-09-27,https://en.wikipedia.org/wiki/Old_Trakai,11087.0
chelseylambert,HR_1551,2944,5657,2024-12-05,https://en.wikipedia.org/wiki/HR_1551,
jmitchell,S._boulardii_lyo,3721,3948,2022-09-25,https://en.wikipedia.org/wiki/S._boulardii_lyo,7669.0
zjones,Cantalupo_nel_sannio,4458,4406,2023-07-30,https://en.wikipedia.org/wiki/Cantalupo_nel_sannio,8864.0
marshtyler,Looney_Tunes_Collector:_Martian_Revenge,4510,5008,2024-03-31,https://en.wikipedia.org/wiki/Looney_Tunes_Collector:_Martian_Revenge,9518.0
herreramichael,Womb_Raider_(Charmed_episode),5583,4693,2025-09-07,https://en.wikipedia.org/wiki/Womb_Raider_(Charmed_episode),
matthewwebb,Shout_Records,4113,9757,2023-05-11,https://en.wikipedia.org/wiki/Shout_Records,13870.0
tyleryoung,Viktor_Borisov-Musatov,9610,9754,2021-07-14,https://en.wikipedia.org/wiki/Viktor_Borisov-Musatov,
ucruz,Siddham_(film),9233,1930,2021-09-23,https://en.wikipedia.org/wiki/Siddham_(film),11163.0
iwest,Scouting_in_Alabama,9115,6633,2021-05-23,https://en.wikipedia.org/wiki/Scouting_in_Alabama,15748.0
bsweeney,The_White_Mary,9529,1199,2021-04-05,https://en.wikipedia.org/wiki/The_White_Mary,
nicholas59,RuneScape_Player_Killing,8798,1372,2025-10-07,https://en.wikipedia.org/wiki/RuneScape_Player_Killing,10170.0
jenniferfowler,Thicker_than_Water_(soundtrack),7604,9118,2021-07-16,,16722.0
myerskeith,EDUD,2387,1302,2021-07-16,,3689.0
adaniels,High_Forest_(Forgotten_Realms),6322,4149,2022-11-13,https://en.wikipedia.org/wiki/High_Forest_(Forgotten_Realms),10471.0
pbailey,Pearleye,6154,1468,2024-10-31,https://en.wikipedia.org/wiki/Pearleye,7622.0
aprilbell,2005_european_championships,9312,5825,2021-09-23,https://en.wikipedia.org/wiki/2005_european_championships,
carlsonamanda,Juan_Carlos_Perez,8341,1043,2023-03-14,https://en.wikipedia.org/wiki/Juan_Carlos_Perez,
davidgibson,Freehold_Metrolink_station,2544,6673,2022-05-14,https://en.wikipedia.org/wiki/Freehold_Metrolink_station,9217.0
kathy35,John_Leibowitz,1010,3845,2020-11-19,,
erinroberts,Ilia_and_Idamante,7320,7694,2025-09-21,https://en.wikipedia.org/wiki/Ilia_and_Idamante,15014.0
eparrish,Keppa_falls,4074,7717,2021-05-06,https://en.wikipedia.org/wiki/Keppa_falls,
spowell,Battle_of_stony_point,9209,6197,2021-09-13,https://en.wikipedia.org/wiki/Battle_of_stony_point,
ashley87,St_John_Beckermet,4408,3640,2025-10-26,https://en.wikipedia.org/wiki/St_John_Beckermet,8048.0
kelly11,Detroit_Edison_Company,4521,8397,2021-10-24,https://en.wikipedia.org/wiki/Detroit_Edison_Company,12918.0
xmccormick,(Myelin_basic_protein)-arginine_N-methyltransferase,9401,4603,2021-08-07,https://en.wikipedia.org/wiki/(Myelin_basic_protein)-arginine_N-methyltransferase,14004.0
gonzalezthomas,Henry_Conybeare,8650,6452,2022-11-21,https://en.wikipedia.org/wiki/Henry_Conybeare,15102.0
jonathan18,Militia_(British_Dominions_and_Crown_Colonies),5610,2833,2024-02-12,https://en.wikipedia.org/wiki/Militia_(British_Dominions_and_Crown_Colonies),
courtneyjohnson,Moral_Core,8612,9103,2025-07-14,https://en.wikipedia.org/wiki/Moral_Core,17715.0
williamwilson,Nagi_Springfield,6359,9067,2022-12-03,https://en.wikipedia.org/wiki/Nagi_Springfield,15426.0
suzannesantana,Altrad_Stadium,5699,4859,2021-04-10,https://en.wikipedia.org/wiki/Altrad_Stadium,10558.0
walterskevin,Wylie_Breckenridge,1610,6531,2024-02-05,https://en.wikipedia.org/wiki/Wylie_Breckenridge,8141.0
davemcdaniel,3-Hydroxypicolinic_acid,4618,2233,2021-07-07,https://en.wikipedia.org/wiki/3-Hydroxypicolinic_acid,6851.0
karen33,ALDH2,7627,2018,2021-06-22,https://en.wikipedia.org/wiki/ALDH2,9645.0
iwest,Zizkov,1533,5036,2020-12-24,,6569.0
gonzaleschris,Macdog,3747,7851,2020-11-18,https://en.wikipedia.org/wiki/Macdog,11598.0
ericrodriguez,"List_of_listed_buildings_in_Clarkston,_East_Renfrewshire",5938,6942,2021-01-21,"https://en.wikipedia.org/wiki/List_of_listed_buildings_in_Clarkston,_East_Renfrewshire",12880.0
smithanne,Summary_conviction_offence,4381,8124,2022-03-16,https://en.wikipedia.org/wiki/Summary_conviction_offence,12505.0
garciaemily,Bolwick_Hall,9044,5714,2024-01-16,https://en.wikipedia.org/wiki/Bolwick_Hall,14758.0
scottfernandez,You_Are_the_Apple_of_My_Eye,8287,6445,2022-07-09,https://en.wikipedia.org/wiki/You_Are_the_Apple_of_My_Eye,14732.0
hollowaytamara,Tell_aux_Scies,3742,9773,2025-05-15,https://en.wikipedia.org/wiki/Tell_aux_Scies,13515.0
karenwilliams,Manuale,6628,7698,2021-09-24,https://en.wikipedia.org/wiki/Manuale,14326.0
gibsonjonathan,Manila_LRT_Green_Line,1382,7314,2023-07-25,https://en.wikipedia.org/wiki/Manila_LRT_Green_Line,
smithrebecca,Certhilauda_barlowi,9309,5046,2023-05-26,https://en.wikipedia.org/wiki/Certhilauda_barlowi,14355.0
shannonjackson,Barry_Berrigan,9520,7503,2021-06-22,https://en.wikipedia.org/wiki/Barry_Berrigan,17023.0
owhite,Joe_Allen_(painter),8306,4947,2024-02-05,https://en.wikipedia.org/wiki/Joe_Allen_(painter),
ihughes,World_forum,2423,7097,2020-11-25,https://en.wikipedia.org/wiki/World_forum,
toni90,Lake_of_Onoz,3308,2976,2022-08-21,https://en.wikipedia.org/wiki/Lake_of_Onoz,6284.0
marshtyler,Christopher_Hum,8292,1971,2021-12-24,https://en.wikipedia.org/wiki/Christopher_Hum,10263.0
vrandall,Anders_Friden,2308,7555,2022-10-09,https://en.wikipedia.org/wiki/Anders_Friden,9863.0
woodandrew,Shootin_for_Love,7725,7857,2025-01-21,,15582.0
april01,Torpedo_destroyer,4542,8081,2021-05-23,https://en.wikipedia.org/wiki/Torpedo_destroyer,
melody56,Ronan_Fanning,4906,9200,2023-06-01,https://en.wikipedia.org/wiki/Ronan_Fanning,14106.0
patrick25,Superposition_(Artwork),6115,8553,2024-12-31,https://en.wikipedia.org/wiki/Superposition_(Artwork),
villarrealangela,Trapped!_(TV_series),9919,4421,2024-10-29,https://en.wikipedia.org/wiki/Trapped!_(TV_series),
smithhannah,Yusuf_Khan_(actor),6056,4365,2025-04-01,https://en.wikipedia.org/wiki/Yusuf_Khan_(actor),10421.0
reyesjill,27_October_2003_Baghdad_bombings,4594,7336,2022-12-19,https://en.wikipedia.org/wiki/27_October_2003_Baghdad_bombings,11930.0
hayesbrandon,Sykes_Warbler,9313,8146,2021-09-01,https://en.wikipedia.org/wiki/Sykes_Warbler,17459.0
nhiggins,Viewpoint_(game),2815,4714,2022-07-29,https://en.wikipedia.org/wiki/Viewpoint_(game),7529.0
williamwilson,Joint_Base_Elmendorf-Richardson,1695,4478,2023-01-25,https://en.wikipedia.org/wiki/Joint_Base_Elmendorf-Richardson,6173.0
ericdiaz,"Ali_Khan,_Bade_Ghulam",2443,2262,2023-01-10,"https://en.wikipedia.org/wiki/Ali_Khan,_Bade_Ghulam",4705.0
richardleblanc,Aiwan-i-Sadr,6073,6652,2024-08-11,https://en.wikipedia.org/wiki/Aiwan-i-Sadr,12725.0
david27,Shumikhinskiy,7727,6309,2024-10-24,https://en.wikipedia.org/wiki/Shumikhinskiy,
harrisondeanna,Som_Prasad_Pandey,4662,7942,2022-02-01,https://en.wikipedia.org/wiki/Som_Prasad_Pandey,
karenwilliams,IJA_58th_Division,4704,3999,2024-03-20,https://en.wikipedia.org/wiki/IJA_58th_Division,8703.0
ywallace,Richard_Lawrence_Ottinger,8888,4286,2025-02-04,https://en.wikipedia.org/wiki/Richard_Lawrence_Ottinger,
robert53,Wilfred_T._Neill,8748,7397,2021-07-21,https://en.wikipedia.org/wiki/Wilfred_T._Neill,16145.0
rhodessandra,Klingenthal/Sa.,2318,6320,2024-05-29,https://en.wikipedia.org/wiki/Klingenthal/Sa.,8638.0
zgarcia,Politico-Military_Communist_Party,4537,2851,2023-07-04,https://en.wikipedia.org/wiki/Politico-Military_Communist_Party,7388.0
shanegutierrez,"Virginia_elections,_2017",4039,1585,2022-02-19,"https://en.wikipedia.org/wiki/Virginia_elections,_2017",5624.0
chelseapope,Sergio_Pinero,1033,1746,2025-02-20,https://en.wikipedia.org/wiki/Sergio_Pinero,2779.0
fieldsveronica,No_Sugar,8025,9451,2022-12-14,https://en.wikipedia.org/wiki/No_Sugar,17476.0
ashleyberry,Hadley_cell_model,2217,2931,2022-05-29,https://en.wikipedia.org/wiki/Hadley_cell_model,5148.0
kevinmurphy,Dianne_Cook,5360,4270,2023-04-26,https://en.wikipedia.org/wiki/Dianne_Cook,9630.0
kelly56,Kahler_manifold,8036,6930,2022-06-16,https://en.wikipedia.org/wiki/Kahler_manifold,14966.0
rsimpson,Michael_Wayne_Godwin,4946,8429,2024-10-10,https://en.wikipedia.org/wiki/Michael_Wayne_Godwin,13375.0
nancy43,Pseudo_combination_(computing),4587,8465,2024-02-22,https://en.wikipedia.org/wiki/Pseudo_combination_(computing),
brichardson,List_of_Manglerud_Star_Ishockey_seasons,5870,9270,2022-03-14,https://en.wikipedia.org/wiki/List_of_Manglerud_Star_Ishockey_seasons,15140.0
morganherrera,Departamento_de_Vivienda_y_Asuntos_Comunitarios_de_Texas,3535,9156,2025-08-18,https://en.wikipedia.org/wiki/Departamento_de_Vivienda_y_Asuntos_Comunitarios_de_Texas,12691.0
theresavasquez,Notonykia,8733,6333,2025-06-21,https://en.wikipedia.org/wiki/Notonykia,15066.0
julie97,Research_In_Motion_Limited,5203,8432,2024-12-18,https://en.wikipedia.org/wiki/Research_In_Motion_Limited,13635.0
kevin45,BNIP2,1102,8238,2021-06-10,https://en.wikipedia.org/wiki/BNIP2,
cunninghamanthony,Best_Adapted_Screenplay,8280,6600,2021-03-07,https://en.wikipedia.org/wiki/Best_Adapted_Screenplay,14880.0
solomonnathan,Yoram,1297,6203,2021-08-23,,7500.0
hillandrew,Nezamand,5653,3242,2025-04-17,https://en.wikipedia.org/wiki/Nezamand,8895.0
kyle66,The_Flame_In_All_Of_Us,5109,4394,2021-08-08,https://en.wikipedia.org/wiki/The_Flame_In_All_Of_Us,9503.0
iparrish,NK_Bezigrad,2387,4021,2025-03-23,https://en.wikipedia.org/wiki/NK_Bezigrad,6408.0
zweiss,Dollhouse_(TV),3808,3464,2025-03-16,https://en.wikipedia.org/wiki/Dollhouse_(TV),
christopher72,V.S._Niketan_Higher_Secondary_School,5647,1201,2023-07-19,https://en.wikipedia.org/wiki/V.S._Niketan_Higher_Secondary_School,6848.0
michael49,Emilio_Serrano_y_Ruiz,2509,2907,2023-06-12,https://en.wikipedia.org/wiki/Emilio_Serrano_y_Ruiz,5416.0
robert48,El_Watan,9915,5845,2024-03-14,https://en.wikipedia.org/wiki/El_Watan,
simsjacob,"North_Wilkesboro,_North_Carolina_micropolitan_area",8456,6408,2025-08-07,"https://en.wikipedia.org/wiki/North_Wilkesboro,_North_Carolina_micropolitan_area",14864.0
adrianamontes,Lady_Hogg,6972,2002,2022-06-20,,8974.0
acombs,Penicillium_manginii,1724,2035,2025-10-22,https://en.wikipedia.org/wiki/Penicillium_manginii,
kristen81,Self_assembled_monolayer,1353,5045,2024-08-19,https://en.wikipedia.org/wiki/Self_assembled_monolayer,6398.0
williamberry,RM5,5816,4989,2021-08-23,https://en.wikipedia.org/wiki/RM5,10805.0
karenwilliams,Springfield_Airport,2087,3127,2021-10-30,https://en.wikipedia.org/wiki/Springfield_Airport,5214.0
chelseapope,Alex_Kearns,6361,8073,2022-05-16,https://en.wikipedia.org/wiki/Alex_Kearns,14434.0
sarah24,Stevie_Jackson,5573,1780,2025-04-06,https://en.wikipedia.org/wiki/Stevie_Jackson,7353.0
nicholas59,6th_december,6280,4268,2025-11-12,,10548.0
fischeramy,Environment_America,7480,1618,2023-02-19,https://en.wikipedia.org/wiki/Environment_America,9098.0
ijohnson,Delia_Matte_Perez,2777,1848,2022-05-03,,4625.0
adampotts,Filles_de_Kilimanjaro,5598,3402,2022-01-08,https://en.wikipedia.org/wiki/Filles_de_Kilimanjaro,
alvaradomichelle,Interstate_985_in_Georgia,2422,9714,2022-06-17,,12136.0
myerskeith,Guertler_House,1101,2837,2022-10-25,https://en.wikipedia.org/wiki/Guertler_House,3938.0
fcarlson,"County_Carlow_by-election,_1908",4385,1735,2025-09-12,,6120.0
susangarcia,HR_271,6117,2768,2023-11-28,https://en.wikipedia.org/wiki/HR_271,8885.0
carlsonallen,Maithili_brahman,4689,1203,2023-10-25,https://en.wikipedia.org/wiki/Maithili_brahman,5892.0
castilloanthony,Trombone_Shorty_and_Orleans_Ave,8809,3789,2022-09-28,,
hudsonjeffery,WVKO_(disambiguation),5576,2200,2025-03-16,https://en.wikipedia.org/wiki/WVKO_(disambiguation),7776.0
ashleyclarke,Battle_of_Ia_Drang_Valley,5103,9239,2021-06-08,https://en.wikipedia.org/wiki/Battle_of_Ia_Drang_Valley,14342.0
wdiaz,Gli_invicibili_fratelli_Maciste,1093,6565,2025-01-15,https://en.wikipedia.org/wiki/Gli_invicibili_fratelli_Maciste,7658.0
robert38,W268CU,9526,7786,2021-01-21,https://en.wikipedia.org/wiki/W268CU,17312.0
julie97,Nol_Havens,7350,8296,2023-01-25,https://en.wikipedia.org/wiki/Nol_Havens,15646.0
stefanie09,Gary_Spann,2623,5051,2021-01-12,https://en.wikipedia.org/wiki/Gary_Spann,7674.0
larry66,Fps-16,3825,3119,2023-01-10,https://en.wikipedia.org/wiki/Fps-16,6944.0
reidkristin,Progressive_architecture_award,6737,5463,2022-08-11,https://en.wikipedia.org/wiki/Progressive_architecture_award,12200.0
julia06,The_Disquieting_Muses,6613,4956,2025-10-29,https://en.wikipedia.org/wiki/The_Disquieting_Muses,11569.0
mikephillips,Hajdau,5398,6288,2021-07-16,https://en.wikipedia.org/wiki/Hajdau,11686.0
huffjulia,Malhostovice,1809,1988,2024-06-01,https://en.wikipedia.org/wiki/Malhostovice,3797.0
williamgraham,"Barton_Station,_Alabama",2781,9271,2024-09-10,"https://en.wikipedia.org/wiki/Barton_Station,_Alabama",12052.0
gutierrezcrystal,Colias_lesbia,4637,4803,2022-03-11,https://en.wikipedia.org/wiki/Colias_lesbia,9440.0
shanegutierrez,Arguments_against_suicide,8797,9478,2025-07-28,https://en.wikipedia.org/wiki/Arguments_against_suicide,18275.0
bartlettjoseph,United_States_v._Wood,4818,9029,2021-11-13,,13847.0
kenneth17,History_of_Hadera,7545,5905,2024-11-16,https://en.wikipedia.org/wiki/History_of_Hadera,13450.0
beardfrancis,Saharidj,5396,5697,2022-12-17,https://en.wikipedia.org/wiki/Saharidj,11093.0
michael25,Haydn_Mountain,8120,5785,2024-02-17,https://en.wikipedia.org/wiki/Haydn_Mountain,
bucklauren,Municipality_of_Ljubno,6653,8185,2024-12-20,https://en.wikipedia.org/wiki/Municipality_of_Ljubno,
rvaughn,JAXBContext,7318,7680,2025-05-26,https://en.wikipedia.org/wiki/JAXBContext,14998.0
fmora,Dassault-Breguet_Rafale,6073,8769,2024-06-01,https://en.wikipedia.org/wiki/Dassault-Breguet_Rafale,14842.0
longjessica,Kamni_Vrh_pri_Ambrusu,8538,4179,2022-08-16,https://en.wikipedia.org/wiki/Kamni_Vrh_pri_Ambrusu,12717.0
hayesjesse,Eustathios,3952,3008,2023-06-26,https://en.wikipedia.org/wiki/Eustathios,6960.0
chaynes,Ernst_Hermann_Riesenfeld,6233,6398,2021-02-18,https://en.wikipedia.org/wiki/Ernst_Hermann_Riesenfeld,12631.0
trujilloalexis,Guneydogu_anadolu_bolgesi,8846,8621,2021-03-15,https://en.wikipedia.org/wiki/Guneydogu_anadolu_bolgesi,17467.0
shanegutierrez,Seiko_Instruments,5064,3405,2021-05-27,,8469.0
calvin71,Adam_Chlapik,2041,5395,2021-03-19,https://en.wikipedia.org/wiki/Adam_Chlapik,7436.0
kimwebb,Aitape_campaign,7838,2716,2021-05-22,https://en.wikipedia.org/wiki/Aitape_campaign,
isaacthomas,Canadair_CL-30_Shooting_Star,7728,4249,2023-02-22,https://en.wikipedia.org/wiki/Canadair_CL-30_Shooting_Star,11977.0
victor00,"Salvador,_Bahia",9212,9221,2022-05-15,,18433.0
frankscott,Colin_Ward_(baseball),6488,9033,2021-05-12,https://en.wikipedia.org/wiki/Colin_Ward_(baseball),15521.0
salinasanthony,Burlaki,2015,3011,2025-03-13,https://en.wikipedia.org/wiki/Burlaki,5026.0
hansondanielle,My_So_Called_Wife,5661,1125,2025-07-29,https://en.wikipedia.org/wiki/My_So_Called_Wife,6786.0
ibrown,Diocese_of_Catania,7116,5235,2024-10-11,https://en.wikipedia.org/wiki/Diocese_of_Catania,12351.0
shanegutierrez,Snakes_on_a_Babe,1964,1177,2022-07-11,https://en.wikipedia.org/wiki/Snakes_on_a_Babe,3141.0
jack50,Meyreuil,9650,5892,2022-05-30,https://en.wikipedia.org/wiki/Meyreuil,15542.0
antonioguerrero,"Rollins,_John",4824,3039,2022-05-19,"https://en.wikipedia.org/wiki/Rollins,_John",7863.0
mitchellcarolyn,American_Queen_Anne_style,3601,8563,2022-03-23,https://en.wikipedia.org/wiki/American_Queen_Anne_style,
beardfrancis,2005_Laurence_Olivier_Awards,1356,3599,2024-05-31,,4955.0
lpalmer,Toxic_Oil_Syndrome,6039,1440,2022-02-17,https://en.wikipedia.org/wiki/Toxic_Oil_Syndrome,7479.0
donnarivera,Henman,6771,5590,2021-04-30,https://en.wikipedia.org/wiki/Henman,
marshtyler,Shivapuri_Nagarjun_National_Park,9111,7251,2022-05-18,https://en.wikipedia.org/wiki/Shivapuri_Nagarjun_National_Park,16362.0
myerskeith,Kimberly_Rosen,9205,9166,2025-04-07,https://en.wikipedia.org/wiki/Kimberly_Rosen,18371.0
smithandrew,Ryusei_Rocket,4659,8929,2021-11-17,,
franciscomanning,Alfred_M._Wilson,2087,1429,2023-06-24,,3516.0
twilson,Arnold_Boate,7357,9084,2022-12-31,https://en.wikipedia.org/wiki/Arnold_Boate,16441.0
nhiggins,Lotus_Hotel,6540,4674,2023-05-01,https://en.wikipedia.org/wiki/Lotus_Hotel,11214.0
codywalls,"Bernard_II,_Count_of_Toulouse",3537,9257,2023-08-17,"https://en.wikipedia.org/wiki/Bernard_II,_Count_of_Toulouse",12794.0
rogersrandall,Brasiliocroton,2736,5279,2025-08-04,https://en.wikipedia.org/wiki/Brasiliocroton,8015.0
lsandoval,AD_1822,5278,3991,2023-09-01,https://en.wikipedia.org/wiki/AD_1822,9269.0
christopherhess,Temptation_Waits_song,3974,7838,2022-12-30,https://en.wikipedia.org/wiki/Temptation_Waits_song,11812.0
lisavelasquez,Legislative_Assembly_of_Rio_Grande_do_Sul,9395,3386,2024-06-30,https://en.wikipedia.org/wiki/Legislative_Assembly_of_Rio_Grande_do_Sul,12781.0
hannahmorse,"American_State_Bank_(Berwyn,_Illinois)",1569,9505,2023-03-04,"https://en.wikipedia.org/wiki/American_State_Bank_(Berwyn,_Illinois)",11074.0
masseyeileen,Athletics_at_the_1997_Mediterranean_Games,3217,7357,2024-11-16,https://en.wikipedia.org/wiki/Athletics_at_the_1997_Mediterranean_Games,10574.0
alexistravis,Universal_Bill_of_Human_Rights,5476,9374,2021-04-13,https://en.wikipedia.org/wiki/Universal_Bill_of_Human_Rights,14850.0
lbell,IPC$,3362,7532,2025-02-14,https://en.wikipedia.org/wiki/IPC$,10894.0
greenekeith,Epicampyla,9385,3534,2020-12-19,https://en.wikipedia.org/wiki/Epicampyla,12919.0
estesalex,Sultan_Abdul_Aziz_of_Turkey,1066,8650,2022-10-11,https://en.wikipedia.org/wiki/Sultan_Abdul_Aziz_of_Turkey,9716.0
xmartinez,Pelecypod,2771,7703,2023-06-12,,10474.0
morganherrera,USS_Anado_(SP-455),2864,5366,2021-06-30,https://en.wikipedia.org/wiki/USS_Anado_(SP-455),8230.0
carolyn44,3-ketosteroid_9alpha-monooxygenase,5822,1568,2022-08-07,https://en.wikipedia.org/wiki/3-ketosteroid_9alpha-monooxygenase,7390.0
raymond00,L8R_(Band),4559,2011,2021-05-02,https://en.wikipedia.org/wiki/L8R_(Band),6570.0
shelbyhaynes,HD_17017,2353,5422,2022-06-22,https://en.wikipedia.org/wiki/HD_17017,7775.0
anthonytorres,Kris_Newbury,8555,3956,2021-08-01,https://en.wikipedia.org/wiki/Kris_Newbury,12511.0
anthony10,"Savage,_Mississippi",8306,1212,2021-08-22,"https://en.wikipedia.org/wiki/Savage,_Mississippi",
carolineriggs,Chris_Parrish,9084,3639,2023-05-01,https://en.wikipedia.org/wiki/Chris_Parrish,12723.0
ubaxter,MindPlay,1400,9891,2022-04-16,https://en.wikipedia.org/wiki/MindPlay,
petersonchristopher,Utricularia_glazioviana,9306,5923,2022-06-18,https://en.wikipedia.org/wiki/Utricularia_glazioviana,15229.0
courtneyjohnson,"Irish_general_election,_2007",1859,3049,2023-04-30,"https://en.wikipedia.org/wiki/Irish_general_election,_2007",4908.0
kristina59,Dark_web_marketplace,6211,7170,2024-10-30,https://en.wikipedia.org/wiki/Dark_web_marketplace,13381.0
aprilperez,Alexander_Chuprov_(disambiguation),3266,3716,2020-12-26,https://en.wikipedia.org/wiki/Alexander_Chuprov_(disambiguation),6982.0
briantaylor,Republican_Democratic_Party,6207,6898,2021-05-01,https://en.wikipedia.org/wiki/Republican_Democratic_Party,
gibsonjonathan,Bt_brinjal,2569,9605,2023-09-18,https://en.wikipedia.org/wiki/Bt_brinjal,12174.0
